15	11	E	-1.0139728251552261E7	134
emissionprobs	13	5	H3K36me3	0	0.9627425295116104
emissionprobs	13	5	H3K36me3	1	0.03725747048838956
emissionprobs	13	6	H3K4me1	0	0.0038892141298086705
emissionprobs	13	6	H3K4me1	1	0.9961107858701913
emissionprobs	13	7	H3K4me2	0	0.5428942272317823
emissionprobs	13	7	H3K4me2	1	0.4571057727682177
emissionprobs	13	8	H3K4me3	0	0.9425457917816429
emissionprobs	13	8	H3K4me3	1	0.057454208218357124
emissionprobs	13	9	H3K9ac	0	0.37988642075329315
emissionprobs	13	9	H3K9ac	1	0.6201135792467067
emissionprobs	13	10	H4K20me1	0	0.9816063070364334
emissionprobs	13	10	H4K20me1	1	0.018393692963566632
emissionprobs	14	0	CTCF	0	0.9796734542580235
emissionprobs	14	0	CTCF	1	0.02032654574197651
emissionprobs	14	1	Control	0	0.9814054677823224
emissionprobs	14	1	Control	1	0.018594532217677612
emissionprobs	14	2	EZH2	0	0.9450627551977169
emissionprobs	14	2	EZH2	1	0.05493724480228314
emissionprobs	14	3	H2AZ	0	0.8440893014198375
emissionprobs	14	3	H2AZ	1	0.15591069858016254
emissionprobs	14	4	H3K27ac	0	0.7338387266061375
emissionprobs	14	4	H3K27ac	1	0.26616127339386253
emissionprobs	14	5	H3K36me3	0	0.9907303237118126
emissionprobs	14	5	H3K36me3	1	0.009269676288187338
emissionprobs	14	6	H3K4me1	0	0.39558351573936146
emissionprobs	14	6	H3K4me1	1	0.6044164842606385
emissionprobs	14	7	H3K4me2	0	0.9807312188516131
emissionprobs	14	7	H3K4me2	1	0.019268781148386895
emissionprobs	14	8	H3K4me3	0	0.9989327803718281
emissionprobs	14	8	H3K4me3	1	0.0010672196281718237
emissionprobs	14	9	H3K9ac	0	0.9347426629881408
emissionprobs	14	9	H3K9ac	1	0.06525733701185915
emissionprobs	14	10	H4K20me1	0	0.9892145816676402
emissionprobs	14	10	H4K20me1	1	0.010785418332359794
emissionprobs	15	0	CTCF	0	0.9233798436327718
emissionprobs	15	0	CTCF	1	0.07662015636722826
emissionprobs	15	1	Control	0	0.9672292873455772
emissionprobs	15	1	Control	1	0.03277071265442278
emissionprobs	15	2	EZH2	0	0.9491180467006763
emissionprobs	15	2	EZH2	1	0.050881953299323615
emissionprobs	15	3	H2AZ	0	0.9868036947949835
emissionprobs	15	3	H2AZ	1	0.013196305205016402
emissionprobs	15	4	H3K27ac	0	0.25966271246604766
emissionprobs	15	4	H3K27ac	1	0.7403372875339523
emissionprobs	15	5	H3K36me3	0	0.26771943576486673
emissionprobs	15	5	H3K36me3	1	0.7322805642351332
emissionprobs	15	6	H3K4me1	0	0.40263092893169333
emissionprobs	15	6	H3K4me1	1	0.5973690710683066
emissionprobs	15	7	H3K4me2	0	0.9348726926123171
emissionprobs	15	7	H3K4me2	1	0.0651273073876829
emissionprobs	15	8	H3K4me3	0	0.992520347914936
emissionprobs	15	8	H3K4me3	1	0.007479652085064008
emissionprobs	15	9	H3K9ac	0	0.7904332626202367
emissionprobs	15	9	H3K9ac	1	0.20956673737976325
emissionprobs	15	10	H4K20me1	0	0.6568023538434373
emissionprobs	15	10	H4K20me1	1	0.3431976461565628
