15	11	E	-1.02790835634026E7	153
emissionprobs	12	1	Control	0	0.9911456777579989
emissionprobs	12	1	Control	1	0.008854322242001063
emissionprobs	12	2	EZH2	0	0.9995670283192778
emissionprobs	12	2	EZH2	1	4.3297168072227134E-4
emissionprobs	12	3	H2AZ	0	0.9997224667244905
emissionprobs	12	3	H2AZ	1	2.775332755094762E-4
emissionprobs	12	4	H3K27ac	0	0.9637708176879699
emissionprobs	12	4	H3K27ac	1	0.03622918231203006
emissionprobs	12	5	H3K36me3	0	0.3673186814805098
emissionprobs	12	5	H3K36me3	1	0.6326813185194902
emissionprobs	12	6	H3K4me1	0	0.9954136743873003
emissionprobs	12	6	H3K4me1	1	0.004586325612699688
emissionprobs	12	7	H3K4me2	0	0.9934675741495742
emissionprobs	12	7	H3K4me2	1	0.006532425850425856
emissionprobs	12	8	H3K4me3	0	0.9991100174231947
emissionprobs	12	8	H3K4me3	1	8.899825768052882E-4
emissionprobs	12	9	H3K9ac	0	0.9959892970879121
emissionprobs	12	9	H3K9ac	1	0.00401070291208793
emissionprobs	12	10	H4K20me1	0	0.9540243358118969
emissionprobs	12	10	H4K20me1	1	0.045975664188103046
emissionprobs	13	0	CTCF	0	0.8892848068005053
emissionprobs	13	0	CTCF	1	0.11071519319949476
emissionprobs	13	1	Control	0	0.9813382184201156
emissionprobs	13	1	Control	1	0.018661781579884393
emissionprobs	13	2	EZH2	0	0.9959647829282404
emissionprobs	13	2	EZH2	1	0.004035217071759671
emissionprobs	13	3	H2AZ	0	0.9994028453974622
emissionprobs	13	3	H2AZ	1	5.971546025379267E-4
emissionprobs	13	4	H3K27ac	0	0.87651801638609
emissionprobs	13	4	H3K27ac	1	0.12348198361391002
emissionprobs	13	5	H3K36me3	0	0.602767778532758
emissionprobs	13	5	H3K36me3	1	0.39723222146724196
emissionprobs	13	6	H3K4me1	0	0.9314682370891353
emissionprobs	13	6	H3K4me1	1	0.06853176291086471
emissionprobs	13	7	H3K4me2	0	0.9723853201612417
emissionprobs	13	7	H3K4me2	1	0.027614679838758406
emissionprobs	13	8	H3K4me3	0	0.9975631611439872
emissionprobs	13	8	H3K4me3	1	0.002436838856012793
emissionprobs	13	9	H3K9ac	0	0.9865616286694786
emissionprobs	13	9	H3K9ac	1	0.013438371330521396
emissionprobs	13	10	H4K20me1	0	0.4751333444451623
emissionprobs	13	10	H4K20me1	1	0.5248666555548377
emissionprobs	14	0	CTCF	0	0.4503568372124943
emissionprobs	14	0	CTCF	1	0.5496431627875057
emissionprobs	14	1	Control	0	0.048329614232298694
emissionprobs	14	1	Control	1	0.9516703857677014
emissionprobs	14	2	EZH2	0	0.31611526740399143
emissionprobs	14	2	EZH2	1	0.6838847325960086
emissionprobs	14	3	H2AZ	0	0.3453771696345546
emissionprobs	14	3	H2AZ	1	0.6546228303654453
emissionprobs	14	4	H3K27ac	0	0.24430418260382866
emissionprobs	14	4	H3K27ac	1	0.7556958173961713
emissionprobs	14	5	H3K36me3	0	0.2998752921188054
emissionprobs	14	5	H3K36me3	1	0.7001247078811945
emissionprobs	14	6	H3K4me1	0	0.4059532099305129
emissionprobs	14	6	H3K4me1	1	0.5940467900694871
emissionprobs	14	7	H3K4me2	0	0.7433684487756025
emissionprobs	14	7	H3K4me2	1	0.2566315512243975
emissionprobs	14	8	H3K4me3	0	0.24235463181301747
emissionprobs	14	8	H3K4me3	1	0.7576453681869826
emissionprobs	14	9	H3K9ac	0	0.6486838560677122
emissionprobs	14	9	H3K9ac	1	0.3513161439322879
emissionprobs	14	10	H4K20me1	0	0.3165991994728379
emissionprobs	14	10	H4K20me1	1	0.6834008005271622
emissionprobs	15	0	CTCF	0	0.9421157455928442
emissionprobs	15	0	CTCF	1	0.05788425440715597
